"id","base_id","product","language","region","theme","text","character_count","multilingual_message","cta","destination_url","tracking_url","channel","status","planned_at","published_at","notes"
"DCP-001-en","DCP-001","DailyCashPlan","en","","Where did my money go?","Most people don't overspend.
They just don't know where their money went.

A coffee here.
A bill over there.

One clear overview
changes everything.

Try DailyCashPlan free 👇
https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-001

🌍 Available in 8 language/region versions.

DM me with your feedback.","369","🌍 Available in 8 language/region versions.","DM me with your feedback.","https://vid567.github.io/dailycashplan/","https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-001","threads","SOURCE","","",""
"DCP-002-en","DCP-002","DailyCashPlan","en","","Where did my money go?","Money comes.
Money goes.
Where it disappears...
nobody knows.

Your money is not always gone.
Sometimes it is simply hidden
in dozens of small payments.

Try DailyCashPlan free 👇
https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-002

🌍 Available in 8 language/region versions.

DM me with your feedback.","373","🌍 Available in 8 language/region versions.","DM me with your feedback.","https://vid567.github.io/dailycashplan/","https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-002","threads","SOURCE","","",""
"DCP-003-en","DCP-003","DailyCashPlan","en","","Where did my money go?","Count what's spent.
Know where it went.

Start with three numbers:

→ income
→ expenses
→ debt

Clarity begins there.

Try DailyCashPlan free 👇
https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-003

🌍 Available in 8 language/region versions.

DM me with your feedback.","338","🌍 Available in 8 language/region versions.","DM me with your feedback.","https://vid567.github.io/dailycashplan/","https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-003","threads","SOURCE","","",""
"DCP-004-en","DCP-004","DailyCashPlan","en","","Where did my money go?","See your flow.
Then you will know.

You cannot change
what you cannot see.

Put the whole month
on one simple page.

Try DailyCashPlan free 👇
https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-004

🌍 Available in 8 language/region versions.

DM me with your feedback.","336","🌍 Available in 8 language/region versions.","DM me with your feedback.","https://vid567.github.io/dailycashplan/","https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-004","threads","SOURCE","","",""
"DCP-005-en","DCP-005","DailyCashPlan","en","","Where did my money go?","Cash can hide.
Numbers guide.

Small purchases feel harmless.
Together, they tell a story.

Look before you judge yourself.

Try DailyCashPlan free 👇
https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-005

🌍 Available in 8 language/region versions.

DM me with your feedback.","344","🌍 Available in 8 language/region versions.","DM me with your feedback.","https://vid567.github.io/dailycashplan/","https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-005","threads","SOURCE","","",""
"DCP-006-en","DCP-006","DailyCashPlan","en","","Bills & debt","Bills arrive.
Stress survives.

Until you put every bill
in one clear overview.

Knowing the total
is the first calm step.

Try DailyCashPlan free 👇
https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-006

🌍 Available in 8 language/region versions.

DM me with your feedback.","343","🌍 Available in 8 language/region versions.","DM me with your feedback.","https://vid567.github.io/dailycashplan/","https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-006","threads","SOURCE","","",""
"DCP-007-en","DCP-007","DailyCashPlan","en","","Bills & debt","Less debt.
Less dread.

Do not solve everything today.

Choose one debt.
Choose one next payment.
Choose one small step.

Try DailyCashPlan free 👇
https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-007

🌍 Available in 8 language/region versions.

DM me with your feedback.","341","🌍 Available in 8 language/region versions.","DM me with your feedback.","https://vid567.github.io/dailycashplan/","https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-007","threads","SOURCE","","",""
"DCP-008-en","DCP-008","DailyCashPlan","en","","Bills & debt","Debt feels deep.
Take one step, not one leap.

You do not need a perfect plan.
You need a realistic next move
you can repeat.

Try DailyCashPlan free 👇
https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-008

🌍 Available in 8 language/region versions.

DM me with your feedback.","346","🌍 Available in 8 language/region versions.","DM me with your feedback.","https://vid567.github.io/dailycashplan/","https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-008","threads","SOURCE","","",""
"DCP-009-en","DCP-009","DailyCashPlan","en","","Bills & debt","Bills in sight.
Sleep better tonight.

Write down what is due,
how much it costs
and when it must be paid.

Uncertainty creates extra stress.

Try DailyCashPlan free 👇
https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-009

🌍 Available in 8 language/region versions.

DM me with your feedback.","362","🌍 Available in 8 language/region versions.","DM me with your feedback.","https://vid567.github.io/dailycashplan/","https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-009","threads","SOURCE","","",""
"DCP-010-en","DCP-010","DailyCashPlan","en","","Bills & debt","Know what you owe.
Then choose where to go.

List every debt without shame.

The list is not a verdict.
It is your starting point.

Try DailyCashPlan free 👇
https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-010

🌍 Available in 8 language/region versions.

DM me with your feedback.","351","🌍 Available in 8 language/region versions.","DM me with your feedback.","https://vid567.github.io/dailycashplan/","https://vid567.github.io/dailycashplan/?utm_source=threads&utm_medium=social&utm_campaign=dcp_beta_en&utm_content=dcp-010","threads","SOURCE","","",""
